IID	FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
C055	C055	0.0320263	-0.0198047	-0.000564175	-0.0550749	-0.00458389	0.0507198	-0.0211804	0.0055928
C056	C056	-0.0685038	-0.0126871	-0.0651793	0.00171469	-0.0192766	0.000886406	-0.000103792	-0.007962
C057	C057	-0.0614217	-0.0088409	-0.0129359	0.00208443	-0.00634943	0.0031219	0.000630013	0.00537041
C058	C058	0.0341116	-0.0226504	-0.00522427	-0.0659647	0.00167162	0.0333951	-0.104262	0.0287278
C059	C059	0.0335617	-0.0224778	-0.006446	-0.0597627	0.00198539	0.0293784	-0.0485986	-0.00954359
C060	C060	0.0337839	-0.0215708	-0.00356618	-0.0415959	-0.000404049	0.0209593	-0.011698	-0.00042724
C061	C061	0.0326927	-0.0157011	-0.000462107	0.0693508	0.00190728	-0.000136061	-0.0232548	-0.0010654
C062	C062	0.0298941	-0.0198213	-0.00441254	-0.0524062	-0.00113851	0.0231936	-0.0365341	0.0425241
C063	C063	-0.0669993	-0.0139012	-0.0708992	0.00383963	-0.0193604	0.000709894	-0.00107108	-0.000903035
C064	C064	-0.0677809	-0.0132404	-0.075034	3.61202e-05	-0.00337589	0.00172232	0.00485676	0.00447389
C065	C065	0.0322582	-0.0170641	-0.00283706	-0.0130706	0.00189623	0.0181794	0.0725302	0.0607644
C066	C066	0.0299011	-0.0112105	-0.00497598	-0.0344422	-0.00471403	0.0237105	0.032226	0.0484965
C067	C067	-0.0668136	-0.0130666	-0.0728338	-0.000292858	0.00224621	0.00257936	0.00807603	0.00688849
C068	C068	0.0297085	-0.0165233	-0.00179562	0.0979814	-0.000976198	-0.0200897	-0.0587533	0.0251886
C069	C069	0.0318469	-0.0134425	-0.0013909	0.103533	-0.0071476	-0.0128291	-0.0354979	-0.0074006
C070	C070	-0.0690874	-0.0130211	-0.0672902	0.00107805	-0.0205074	0.000587328	-0.00124126	-0.0051171
C071	C071	-0.066612	-0.0124715	-0.0687786	-0.000514387	0.00360115	0.0034122	0.00745383	0.006591
C072	C072	0.0327355	-0.0189443	-0.00446792	-0.0496341	-0.000202132	0.0510474	-0.0256428	-0.00481697
C073	C073	0.0335427	-0.0159959	-0.00316024	-0.036561	0.000141188	0.0360805	0.019	0.0249475
C074	C074	-0.0653678	-0.00812244	-0.0151123	-0.000366504	0.0184649	0.00361711	0.00937103	0.00408754
C075	C075	-0.0667733	-0.0129362	-0.0716737	-0.000268984	0.00408177	0.00290643	0.00868975	0.00682847
C076	C076	0.0318623	-0.0173279	-0.00243206	-0.0301965	0.00469983	0.0584497	0.0111499	0.0475699
C077	C077	0.0318953	-0.017352	-0.00235746	-0.0302724	0.00467601	0.0584912	0.0109261	0.047513
C078	C078	0.0291838	-0.0133711	0.00347523	-0.024529	0.00335947	0.0462559	0.0486619	-0.040115
C079	C079	-0.0658184	-0.0111897	-0.0474213	0.000403513	-0.00435533	0.00455178	0.00128096	-0.00681774
C080	C080	0.0326622	-0.0179407	-0.00343947	-0.0745761	0.00749848	0.0666926	-0.0316385	-0.0534399
C081	C081	0.0318302	-0.0173331	-0.00241948	-0.0302837	0.00467922	0.0584714	0.0109878	0.0475634
C082	C082	-0.0680734	-0.0112516	-0.0684606	0.000571333	0.00954885	0.00392543	0.0088723	0.00417554
C083	C083	-0.0576328	-0.0086114	-0.048753	-0.000220893	0.00200636	0.000300204	0.00388455	-0.0091535
C084	C084	-0.0587745	-0.00617324	0.0433157	-0.00334476	-0.00767309	0.00309724	0.00229393	0.00100747
C085	C085	-0.0636388	-0.00843939	-0.00541956	-0.00107231	-0.0119283	0.00356876	0.0010722	-0.00106726
C086	C086	0.0146362	0.103541	-0.00549211	-0.00772447	-0.0286797	0.00519963	-0.00850803	0.00805654
C087	C087	-0.0655602	-0.0126055	-0.0562224	-0.0016237	-0.0150094	0.00173791	0.00361563	-0.000880607
C088	C088	0.0309408	-0.00756802	-0.0015794	-0.045536	0.00124197	0.062164	0.0415941	-0.0679594
C089	C089	-0.0651036	-0.012823	-0.0701383	-0.00146968	0.00564571	0.00282356	0.0124732	0.012755
C090	C090	0.0308284	-0.0124572	0.00293991	0.0298125	-0.00787146	-0.0142369	0.0610555	0.0601825
C091	C091	0.0338322	-0.0192641	-0.00398853	-0.0655043	0.00617733	0.0599628	-0.00757187	-0.0557527
C092	C092	0.0338156	-0.0192591	-0.00400127	-0.065497	0.00618108	0.0599609	-0.00753387	-0.0557448
C093	C093	-0.0668391	-0.0111949	-0.0508269	9.91246e-05	-0.00707903	0.00251214	0.00344986	-0.00606312
C094	C094	0.0238195	-0.0124591	0.000123145	-0.0100801	-0.0102246	0.0133312	0.0881733	0.0807177
C095	C095	0.0326534	-0.00940572	-0.00259427	-0.0450668	0.000667993	0.0617462	0.0361748	-0.0724452
C096	C096	0.0289731	-0.0137572	-0.00300929	-0.0115619	0.0146869	0.0297721	0.103721	0.103286
C097	C097	0.0303386	-0.0161391	-0.000567799	-0.00776204	0.0020002	0.0396033	0.0724357	0.0760225
C098	C098	0.0286553	-0.0133045	-0.00483106	-0.0182376	0.012347	0.0150284	0.101799	0.0893038
C099	C099	0.0283151	-0.0133258	-0.00187647	-0.012313	0.0169164	0.0220176	0.10987	0.102152
C100	C100	0.0298564	-0.0131964	0.000353064	-0.00695578	0.00196307	0.0190051	0.115427	0.0912362
C101	C101	-0.0655506	-0.0105192	-0.0378598	-0.000551441	-0.00671983	0.00378675	0.00364982	-0.00362307
C102	C102	0.0287095	-0.0142404	-0.00505093	-0.00817387	0.00495655	0.018467	0.0994891	0.110789
C103	C103	-0.0639663	-0.0105103	-0.0369556	0.00060652	-0.00952608	0.00626595	0.0013717	-0.00294472
C104	C104	0.0327218	-0.0179402	-0.00338532	-0.0745844	0.00755352	0.0667511	-0.0317548	-0.0533566
C105	C105	0.0208353	0.0100796	-0.00431254	0.000597513	-0.00164774	0.0229756	0.00134821	-0.023602
C106	C106	-0.0663172	-0.0114318	-0.0457874	-0.000462837	-0.00999967	0.00336182	0.00243006	-0.00539613
C107	C107	0.0315984	-0.0131656	0.00180303	0.00670881	-0.00471482	0.0172812	0.11075	0.0569964
C108	C108	0.032713	-0.0179391	-0.00340293	-0.0746134	0.00754131	0.0667676	-0.0318153	-0.0533301
C109	C109	0.0296395	-0.0103729	-0.00136943	-0.0375746	-0.00377433	0.0168703	0.0136369	-0.0353294
C110	C110	0.0317707	-0.00882357	-0.00146842	-0.0443345	-8.66659e-05	0.0646055	0.0391692	-0.0569887
C111	C111	-0.0660558	-0.01023	-0.0394134	-0.00108189	-0.00609393	0.00372309	0.00369586	-0.00433488
C112	C112	0.03115	-0.0160709	0.000145865	-0.0467041	0.00543629	0.0201998	0.00809874	-0.0380116
C113	C113	0.0319727	-0.0158415	-0.00511605	-0.0111509	0.0015079	0.0248818	-0.0276795	-0.0543397
C114	C114	0.0323229	-0.0164896	-0.00306919	0.00508111	0.000824284	0.00825642	-0.0176142	0.0162875
C115	C115	0.0258344	-0.0165059	-0.00286001	0.0638349	-0.00477739	-0.0245101	-0.0562625	0.0243136
C116	C116	-0.0692709	-0.0128563	-0.0712405	0.00234923	-0.0211512	0.00121691	-0.00100726	-0.00507637
C117	C117	0.029434	-0.0128583	-0.00182415	0.00357118	-0.00324006	0.0199363	-0.0282123	0.0229981
C118	C118	0.0298078	-0.0131937	-0.000611758	0.0841741	0.00086742	-0.0199826	-0.0640872	0.0260919
C119	C119	-0.0414207	-0.0154442	-0.0546645	0.0192918	-0.0343508	-0.000380032	-0.0159861	0.00292069
C120	C120	-0.0693052	-0.0133385	-0.073463	0.000956734	-0.0205821	0.00132395	-0.00181292	-0.00684572
C121	C121	0.0311699	-0.018035	-0.00411189	-0.00158183	0.000237012	0.0148719	-0.0289927	0.0341931
C122	C122	0.0334298	-0.0222216	-0.00653512	-0.0609209	0.00276845	0.0339802	-0.0598354	-0.0110243
C123	C123	-0.053394	-0.00783478	0.0589068	-0.00455761	-0.00754971	-0.000146304	0.00699387	0.0134146
C124	C124	0.0170829	-0.0179703	-0.00553309	0.00505815	-0.00336026	0.0150377	-0.0437779	-0.0483464
C125	C125	0.0325458	-0.016604	-0.0050084	-0.0462852	0.000263343	0.0494797	0.00694864	-0.00653512
C126	C126	-0.0572921	-0.0131031	-0.0594528	-0.000603481	-0.0110205	0.000784907	0.00386378	-0.00813545
