IID	FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
W005	W005	-0.0507026	0.00117535	0.105606	-0.00841632	-0.0368412	0.00706181	0.000551067	0.00690266
W006	W006	-0.056665	-0.004518	0.134726	-0.0122373	-0.0450453	-0.00171036	-0.00504725	-0.00845512
W007	W007	-0.0550384	-0.00414979	0.108827	-0.00348082	-0.0412621	-0.00194597	-0.00147311	0.00619165
W008	W008	-0.0550262	-0.00382622	0.117657	-0.00738639	-0.0363402	-0.00037842	0.000243999	0.00296307
W009	W009	0.0294815	-0.00658143	0.00610735	0.00695029	-0.0179612	0.0288828	0.111147	0.0440146
W010	W010	-0.0645359	-0.00884427	0.0307073	-0.00368771	-0.0372025	0.0024146	-0.00476662	-0.00647059
W011	W011	-0.0686096	-0.0124937	-0.0626508	0.00104109	-0.0121427	0.00233257	-0.000549706	-0.0053677
W012	W012	-0.0691147	-0.0130646	-0.0684007	0.000776597	-0.0203046	0.0013924	-0.000387574	-0.00363414
W013	W013	-0.0662621	-0.0117088	-0.0466677	0.00428102	-0.0190196	0.000733474	-0.000890077	0.00146885
W014	W014	-0.0273566	0.0414514	0.0309207	0.00139765	0.205534	-0.0132081	-0.00873818	0.00200211
W015	W015	0.0123145	0.138293	-0.0162524	-0.00455353	-0.00942433	-0.00517408	-0.0196144	-0.0041816
W016	W016	-0.0685756	-0.0119045	-0.0632358	-9.4921e-05	-0.0145145	0.00279867	-0.000312335	-0.00617664
W017	W017	-0.0544581	-0.00301209	0.122455	-0.0106184	-0.0346106	-7.55725e-05	-0.00632312	-0.0089292
W018	W018	-0.06611	-0.00998239	-0.0239283	-0.00123466	-0.00593552	0.00322908	0.000236354	-0.00116192
W019	W019	-0.0617172	-0.00684335	0.0437896	-0.00208459	-0.0305802	0.00190834	0.00518269	0.0125358
W020	W020	0.0131312	0.100247	-0.00821589	-0.0137339	-0.0239132	0.0033401	-0.00747424	0.0211112
W021	W021	-0.0591475	-0.0063615	0.0452675	-0.00128396	-0.00241841	0.00278562	0.00293882	0.00192239
W022	W022	-0.0537937	-0.0036258	0.102616	-0.00276988	-0.0428256	0.00264269	-0.0019655	0.00627283
W023	W023	0.0261871	-0.0131054	0.00650331	0.0214161	0.00303839	0.0232496	0.108398	0.0533922
W024	W024	-0.0530986	-0.00360358	0.104796	-0.00791745	-0.0491729	0.000588342	-0.00267356	0.000520072
W025	W025	0.014606	0.140244	-0.0174142	-0.00733413	-0.0263006	0.00185497	-0.00211448	0.00687599
W026	W026	0.0315493	-0.0170644	-0.00202437	-0.0418626	0.00588264	0.03788	0.00136568	0.0601091
W027	W027	-0.0665718	-0.0111195	-0.0266193	-0.000884844	-0.0329172	0.00312255	-0.000489962	-0.00314533
W028	W028	0.0151942	0.144688	-0.0136657	-0.00755603	-0.0434031	0.00270901	-0.00481043	0.0131394
W029	W029	0.0312923	-0.0165104	-0.00330034	-0.0340763	-0.00114974	0.0269014	0.0766682	0.0371813
W030	W030	0.0244749	-0.0105598	0.00383304	0.00302481	0.00155096	0.0166457	0.0891139	0.0688925
W031	W031	0.0316963	-0.019165	-0.000803199	-0.0364751	0.00309097	0.0372528	0.010198	0.00556071
W032	W032	0.0318096	-0.019213	-0.000764006	-0.0365401	0.0031404	0.0374677	0.010263	0.00561996
W033	W033	0.0319515	-0.0178241	-0.0007521	-0.0509774	0.00258587	0.0538144	-0.00038685	-0.0355683
W034	W034	0.0124837	0.126042	-0.0103559	-0.0121185	-0.0174178	-0.00818594	-0.0189252	0.0291852
W035	W035	0.0264865	-0.0119395	0.000832313	-0.00316681	0.0010592	0.0187879	0.0791835	0.0601225
W036	W036	0.0319078	-0.0178618	-0.0013203	-0.0412488	0.00446862	0.0445166	0.0283574	-0.0113201
W037	W037	0.0144356	0.035479	0.00785727	0.00364578	-0.00823546	0.0116282	0.0245609	-0.0152452
W038	W038	-0.0685597	-0.0127992	-0.0719727	0.00224324	-0.016349	0.000374553	0.00169623	-0.00400918
W039	W039	0.0321827	-0.0193632	-0.00422985	-0.0513734	0.00585775	0.0514102	-0.0041316	-0.00504758
W040	W040	0.0320003	-0.0162709	-5.78179e-05	0.0761062	-0.00256733	-0.0165635	0.00582274	-0.0210514
W041	W041	-0.0549734	-0.00295994	0.101014	-0.00668796	-0.0248323	-0.00357695	-0.00348386	-0.00227799
W042	W042	0.0146194	0.0593326	-0.0126206	0.00300694	-0.0129255	0.0177892	0.0529614	-0.0132873
W043	W043	0.0323847	-0.0171704	0.000728683	0.0788622	-0.00154192	0.00680992	0.0271225	-0.00288967
W044	W044	0.0309186	-0.0122523	0.000586399	0.0727229	-0.00871175	-0.0108018	0.0110538	-0.0262332
W045	W045	-0.067904	-0.0107964	-0.0655259	-0.00135373	0.0137341	0.00495408	0.00617764	0.0056423
W046	W046	0.0316084	-0.0204268	-0.00109919	0.0742499	-0.00199113	-0.0225907	-0.0577782	-0.00834188
W047	W047	-0.0562405	0.00184169	0.000866486	0.00223457	0.0339703	0.00239035	-0.00125807	-0.00961015
W048	W048	0.0127202	0.088058	-0.00381199	-0.0113372	-0.0144249	0.000986493	-0.00461746	0.018145
W049	W049	0.0141763	0.138681	-0.0139823	-0.00463734	-0.0222984	-0.00285124	-0.0171168	0.00300884
W050	W050	-0.0400434	0.0267494	0.0135095	0.000764526	0.206443	-0.0114363	-0.00726999	0.0117668
W051	W051	0.0299269	0.000396142	-0.00272969	0.063093	-0.00967679	-0.0222918	-0.0291035	-0.0317626
W052	W052	-0.0676326	-0.011693	-0.0636373	0.00107328	0.000871188	0.00270254	0.00719228	0.00629011
W053	W053	-0.055603	-0.00419237	0.133586	-0.0128218	-0.0447747	-0.0013814	-0.00367905	-0.00927053
W054	W054	0.0316025	-0.0161958	0.000318332	-0.00563706	-5.74491e-05	0.0324266	0.0695203	-0.01356
W055	W055	-0.0169728	-0.0117223	0.033191	0.00999211	0.00925086	-0.00374889	-0.0199079	0.0402504
W056	W056	-0.0691736	-0.0133936	-0.0724192	0.000921242	-0.0198538	0.000701173	-0.0012064	-0.00567208
W057	W057	-0.0550214	-0.00403634	0.131142	-0.0121496	-0.042233	-0.00113219	-0.00436457	-0.00826699
W058	W058	0.0299755	-0.0163904	-0.00287431	-0.0305683	0.00304335	0.0310921	-0.0196189	0.0339766
W059	W059	-0.0691574	-0.01306	-0.0715152	0.00256548	-0.0200761	0.00112709	-0.00146868	-0.00584479
W060	W060	-0.0689295	-0.012363	-0.0687577	0.00155456	-0.0154791	0.0012998	0.000232444	-0.00512925
W061	W061	-0.0634054	-0.00827311	0.0211144	-7.98506e-05	-0.00960776	0.00349515	-0.00020017	-0.00364531
W062	W062	-0.0465809	-0.00413154	0.0727402	-0.0066256	0.00157196	0.00352915	-0.000291625	1.12795e-05
W063	W063	-0.0633166	-0.00774371	0.0302792	-0.00400815	-0.035628	0.00189736	0.00095706	-0.001362
W064	W064	-0.0678778	-0.011066	-0.0652416	-0.00055929	0.0140411	0.00593493	0.00716025	0.00563507
W065	W065	-0.0526537	-0.00108486	0.123529	-0.0136443	-0.0281941	-8.16481e-05	-0.00476943	-0.00643738
W066	W066	0.013375	-0.00836438	0.0274345	0.0505058	-0.0182174	-0.00226608	0.060424	0.0110645
W067	W067	-0.0522486	-0.00323137	0.10197	-0.00431398	-0.0291457	0.000864401	-0.00599791	0.00515086
W068	W068	-0.0653211	-0.00731883	-0.0583707	-0.000922915	0.0258467	0.00509207	0.00581455	0.004498
W069	W069	0.0131082	0.120181	-0.00799982	-0.00751403	-0.026053	0.00151953	-0.02128	0.0267632
W070	W070	0.032288	-0.0185545	-0.00223693	0.0251347	-0.00236677	-0.00164042	-0.0150735	0.00158526
W071	W071	0.0300435	-0.00922914	-0.000616854	0.00018594	-0.00912188	0.0260406	0.0841452	0.0648053
W072	W072	0.0131263	0.140387	-0.0141481	-0.00429502	-0.0181097	0.00207793	-0.0041098	-0.00240227
W073	W073	0.0310128	-0.00734837	-0.000523378	0.0788173	-0.00872821	0.0021203	-0.0212624	-0.0524027
W074	W074	0.0319664	-0.0139485	-9.84643e-05	0.00302097	-0.00543059	0.0258751	0.110386	0.0779832
W075	W075	0.0277269	0.0185259	-0.00111525	0.0147284	-0.00552023	0.0174993	0.0589355	-0.0763151
W076	W076	0.0158882	0.144404	-0.014679	-0.0129816	-0.03254	0.00262877	-0.00592712	0.0375553
W077	W077	-0.0328509	0.0325197	0.0455101	0.00624418	0.26595	-0.0145586	-0.00255998	0.00532912
W078	W078	0.0282517	-0.0126781	0.000696371	0.0726792	0.0125531	-0.00270151	0.0177265	0.0196606
W079	W079	-0.013603	-0.00597106	0.0452708	-0.0257662	0.0309054	0.0225273	-0.0222218	0.00728193
W080	W080	0.0338313	-0.0197693	-0.00379308	-0.0617618	0.00292732	0.0641596	-0.0281879	-0.0322686
W081	W081	-0.034688	0.0306156	0.0188807	0.000776881	0.224888	-0.00949856	-0.000445362	0.0135116
W082	W082	-0.0684264	-0.0112453	-0.0677308	-5.37447e-05	0.00550994	0.00402868	0.0053541	0.00175241
W083	W083	0.0308988	-0.012251	0.00185049	0.0650202	0.000556901	-0.00140702	0.027381	-0.0568956
W084	W084	0.0284126	-0.00675203	0.00179452	0.0538233	-0.00231376	0.00227607	0.0207817	-0.0145154
W085	W085	0.0290037	-0.0170631	0.000704927	0.0175464	0.00113324	0.0111847	-0.0475323	0.0640215
W086	W086	0.0312611	-0.0200189	-0.000659705	0.0342169	-0.00620101	-0.015138	-0.0163789	0.0166913
W087	W087	0.0276348	-0.0198942	-0.0035812	-0.0365718	0.00884076	0.0274195	-0.0453464	0.0244483
W088	W088	-0.0580182	-0.0131718	-0.0597366	0.013183	0.0207213	0.00325807	0.00823265	-0.00206545
W089	W089	0.0283154	-0.00931493	0.00329751	0.0161433	0.00392607	0.026244	0.10713	0.034286
W090	W090	0.0138666	0.146631	-0.0156373	-0.000113476	-0.00251792	-0.00962546	0.00379792	-0.0194302
W091	W091	0.000876801	0.125869	-0.00605972	-0.00100781	-0.00694407	-0.0113952	-0.0139345	-0.0340481
W092	W092	0.00445987	0.126108	-0.00581335	0.00424733	-0.00263394	-0.00816612	-0.0142341	-0.0359049
W093	W093	0.0281442	-0.00942084	0.00257575	0.0160592	0.00413756	0.0256138	0.105665	0.0339343
W094	W094	0.0157243	0.147603	-0.015646	-0.0078731	-0.0246078	-0.00599305	-0.00681058	0.0234934
W095	W095	0.0155706	0.148953	-0.0149506	-0.0118593	-0.0336228	-2.82746e-05	-0.00495516	0.0337718
W096	W096	0.015924	0.151625	-0.0156751	-0.00404084	-0.0278506	-0.000931626	-0.0156732	0.0289118
W097	W097	-0.0120906	0.0384959	-0.0115182	0.00568805	0.00858848	-0.00210473	0.0134438	-0.00833835
W098	W098	0.0137033	0.143963	-0.0155575	-0.00191277	-0.00405103	-0.0110968	0.0043085	-0.0176607
W099	W099	-0.00403905	0.115269	-0.00331293	0.00199274	0.0054287	-0.010079	-0.0173825	-0.0342974
W100	W100	0.0128543	0.145909	-0.0135882	-0.0012409	-0.0032712	-0.0129819	0.00204152	-0.0166465
W101	W101	0.0316699	0.0176114	-0.00442566	-0.00102097	-0.010775	0.0269529	0.076846	-0.0467034
W102	W102	-0.052631	-0.00316493	0.100478	-0.0100682	-0.0408105	0.00238594	0.00335385	-0.0033358
W103	W103	0.0112178	0.144703	-0.0125055	-0.00295836	-0.0137789	-0.00436417	-0.0040075	-0.0172031
W104	W104	0.016047	0.148877	-0.0167166	-0.00987998	-0.0325006	0.00220198	-0.00689039	0.0327619
W105	W105	-0.00274226	0.122824	0.000393782	0.00132384	0.00230383	-0.012515	-0.0170407	-0.0334503
W106	W106	0.0145122	0.144207	-0.0139439	-0.000892223	-0.0161295	-0.00706323	-0.00441511	-0.0115981
W107	W107	0.02335	0.0763624	-0.00926179	0.010146	-0.0146858	0.00723697	0.0279569	-0.0267012
W108	W108	0.0137794	0.147728	-0.0152482	-0.000733045	-0.00498327	-0.0101396	0.00377302	-0.0181149
W109	W109	-0.0677162	-0.0095988	-0.0492314	5.19241e-05	0.0187451	0.00383758	0.00586711	0.00397905
W110	W110	-0.0542326	-0.00425132	0.107901	-0.00470731	-0.0335143	0.00196248	-0.00353112	0.00172697
W111	W111	0.029538	-0.00654158	0.00623738	0.00693525	-0.0180485	0.0289045	0.111256	0.04415
W112	W112	0.0304816	0.00747687	-0.00145147	0.0140736	-0.00547263	0.031729	0.0832023	-0.0288752
W113	W113	-0.0530775	-0.00345513	0.103216	-0.00458528	-0.0446725	0.00127873	0.00046948	0.00109491
W114	W114	0.0297166	-0.0121299	0.00300224	0.0112141	-0.000794225	0.0069458	0.10096	0.0427701
W115	W115	0.00884011	0.125075	-0.00907561	0.00280153	-0.00600114	-0.00437012	-0.00683417	-0.0466746
W116	W116	-0.0573425	-0.00356029	0.0964137	-0.00633204	-0.0276616	-0.000182733	-0.0105048	0.00194026
W117	W117	-0.0690664	-0.0130122	-0.068043	0.000753768	-0.0201337	0.00137619	-0.000363246	-0.00369392
W118	W118	-0.0546015	-0.0043921	0.103954	-0.00331753	-0.045698	-0.00713847	-0.00701312	-0.000384968
W119	W119	-0.0522439	-0.00344652	0.114178	-0.0025211	-0.0347235	-9.7704e-05	-0.00533427	-0.00622123
W120	W120	-0.0654532	-0.00914351	-0.0341976	-0.00215096	-0.00256977	0.000754022	0.00221903	0.00598535
W121	W121	0.011547	0.123053	-0.00844533	-0.0139983	-0.0137458	-0.00781589	-0.020941	0.0217097
W122	W122	-0.0587994	-0.00274459	0.00731314	0.00078768	0.00347843	0.00335208	0.00271642	0.000840186
W123	W123	-0.0568579	-0.00381009	0.128352	-0.00901773	-0.0446929	0.000811915	-0.00535944	-0.00214423
W124	W124	0.0322107	-0.0134463	-0.00239285	-0.0361884	-0.00345429	0.0375982	-0.0101022	-0.0111428
W125	W125	-0.0320034	-0.0142202	-0.0301439	-0.0227633	0.00353816	0.0188365	-0.00613002	-0.00142148
W126	W126	0.0335863	-0.0178822	-0.00424036	-0.0621512	0.000809486	0.0498994	-0.00247524	-0.0441274
W127	W127	-0.0574903	-0.00595997	0.0409178	-0.00286855	-0.00273815	0.00614027	0.00745773	0.00358941
W128	W128	-0.0328075	0.0124964	0.0488965	-0.0156453	-0.026629	0.00379786	-0.00277451	-0.0133646
W129	W129	-0.0373817	0.0295766	0.0403328	0.00460051	0.210515	-0.0100906	-0.007068	0.00119942
W130	W130	-0.0673589	-0.0103823	-0.0548411	-0.00111958	-0.00783824	0.00267179	0.00258411	-0.00274724
W131	W131	0.0145878	0.0951402	-0.00694945	-0.0126815	-0.0267491	0.00504475	-0.0109307	0.0269918
W132	W132	0.030293	-0.0135331	-0.0013732	-0.0312775	0.00165567	0.0327366	0.0418387	0.0564743
W133	W133	0.0327273	-0.0168799	-0.00100351	-0.0208789	0.000602629	0.0284098	0.00205403	0.0442047
W134	W134	0.0143367	0.148073	-0.0140093	-0.00974446	-0.0350996	-0.00181993	-0.0189898	0.0113901
W135	W135	0.0217593	0.0519603	0.00405795	0.0075492	-0.00687371	0.0199956	0.0519166	-0.0414417
W136	W136	-0.0139908	0.0570214	0.0377487	0.00955472	0.180995	-0.0129108	0.00697692	-0.013094
W137	W137	0.0240252	-0.012296	0.000212005	0.00629191	-0.00600346	0.0088823	0.0383309	0.0158256
W138	W138	0.0328762	-0.0173162	-0.00169543	-0.0385869	0.00219119	0.0434975	0.00892475	-0.0256519
W139	W139	-0.0685412	-0.0113764	-0.0635598	-0.00118183	0.00444075	0.00355163	0.00638828	0.00368511
W140	W140	0.00466411	0.12369	-0.00553043	0.00328117	-0.00223939	-0.0077781	-0.0149207	-0.0383756
W141	W141	0.0152659	0.149353	-0.0144767	-0.00904544	-0.0280976	0.000658642	-0.0148671	0.0349729
W142	W142	0.0150796	0.138758	-0.01294	-0.0123847	-0.0297975	0.00729896	-0.00140859	0.0228832
W143	W143	-0.0591632	-0.00508572	0.0220783	0.000469045	-0.00464677	0.00216503	0.00230031	-0.00119738
W144	W144	0.0326672	-0.019913	-0.00279478	-0.0391863	0.00177111	0.0412692	0.00455683	-0.0122255
W145	W145	0.0306426	-0.00995815	-0.000682178	-0.0155006	0.00233843	0.0226257	0.042546	-0.0295454
W146	W146	0.029976	-0.0149469	-0.0030754	-0.0360922	0.00322903	0.04217	0.0170615	0.0314591
W147	W147	0.0326961	-0.0186382	-0.000999984	0.0253971	-0.000340352	0.00219589	-0.0276131	0.0129432
W148	W148	0.0324636	-0.016241	-5.87206e-05	-0.0241825	0.00434713	0.0084988	0.0270638	0.00257109
W149	W149	0.0301166	-0.0173391	-0.000529334	0.0307596	-0.000824951	-0.00929218	-0.0746359	0.0362279
W150	W150	0.0186447	-0.0166512	-0.00543377	0.0470321	0.0143941	-0.000116275	-0.00308973	-0.0319786
W151	W151	0.0205871	-0.0165336	-0.00579371	0.0381996	-0.0115414	-0.00460483	-0.0618581	-0.00671856
W152	W152	0.0272879	-0.0162408	0.00348264	0.0853305	-0.0138916	-0.0202595	-0.0454832	0.0565869
W153	W153	0.0263178	-0.0136209	0.00564505	0.0545231	-0.0187113	-0.0118968	0.00947725	0.0432823
W154	W154	0.0320364	-0.0210205	-0.00131313	0.0504596	-0.00442352	-0.0188686	-0.0650748	0.059319
W155	W155	0.02715	-0.0200599	-0.00484994	0.017112	-0.000765333	0.00513816	-0.0559747	0.0184883
W156	W156	0.0288474	-0.0201819	-0.00519029	-0.0167347	0.00130047	0.0173861	-0.0630603	0.0177143
W157	W157	0.0273361	-0.0184748	-0.000436778	-0.00263805	-0.00625898	0.0118455	-0.0596366	0.0179312
W158	W158	-0.0179408	-0.0149671	-0.0448416	0.0446233	-0.0405198	-0.00687343	-0.0180262	-0.0102622
W159	W159	0.0261716	-0.00906852	-0.00174065	0.0809657	-0.00858597	-0.0138899	-0.0492578	-0.0166027
W160	W160	-0.0683254	-0.0129794	-0.0752786	0.00138919	-0.00289952	0.0030534	0.00430168	0.00371042
W161	W161	0.0148586	-0.0125286	0.0213103	0.0761283	-0.014221	-0.023236	-0.0356219	-0.0400775
W162	W162	-0.0630855	-0.0138192	-0.0755634	0.00183793	0.00594247	0.00324949	0.0053006	0.00283646
W163	W163	0.0316297	-0.0189482	-0.00179526	0.0173467	-0.000798418	0.00813632	-0.0881778	0.0680744
W164	W164	0.0292482	-0.018772	-0.00625428	-0.0184386	0.00355981	0.0261664	-0.0583477	-0.0181397
W165	W165	0.0308572	-0.019415	-0.00137265	0.0158532	0.000656884	-0.00220216	-0.107324	0.133461
W166	W166	0.0282516	-0.0175753	0.000318289	0.00496504	0.00775929	0.0102225	-0.0589598	0.0337606
W167	W167	0.0284488	-0.0176704	0.000360057	0.00508866	0.00773419	0.0103637	-0.0591133	0.0338238
W168	W168	0.0322132	-0.0125695	0.00137957	0.0887069	-0.00300033	-0.00463358	0.0167734	-0.0254823
W169	W169	0.0299033	-0.00849256	-0.00112987	0.0770232	-0.00296949	-0.0105802	0.00735513	-0.111059
W170	W170	0.0294103	-0.0188479	0.000413637	0.107486	-0.0080087	-0.0304835	-0.0922135	0.0433993
W171	W171	0.0296677	0.00510806	-0.00350737	0.0460237	-0.00831657	-0.00267351	0.0147212	-0.0471779
W172	W172	0.0330306	-0.0163407	-0.00220257	0.0434108	-0.000738692	-0.0036708	-0.0514099	-0.00765699
W173	W173	-0.0384858	-0.00289693	0.0440879	0.00150236	0.0168001	-0.00540436	-0.00828655	0.0150149
W174	W174	0.0270296	-0.016172	-0.00423961	0.0861061	-0.00653388	-0.00996486	-0.0245005	-0.0236159
W175	W175	-0.00912345	-0.0156336	-0.030283	0.0275749	-0.00852082	0.00250755	-0.043103	-0.0195605
W176	W176	0.0214298	-0.019971	-0.0089994	0.0925547	-0.0169679	-0.0350223	-0.0756438	0.0222117
W177	W177	0.0213743	-0.0199823	-0.00904155	0.0921833	-0.0169445	-0.0349691	-0.0756673	0.022138
W178	W178	0.0310564	-0.0119123	-0.000653587	0.051067	0.00510381	0.0119272	0.0617399	0.0326862
W179	W179	0.0301101	-0.00692718	-0.000196977	0.0827458	-0.00478786	-0.00528991	0.00490721	-0.138703
W180	W180	0.031224	-0.0151209	0.000379028	0.0494245	0.00712503	0.0178535	0.0322237	-0.0232405
W181	W181	0.0328015	-0.0181248	-0.000213174	0.0496507	0.00531678	0.00376075	-0.0111553	0.0144344
W182	W182	0.0321098	-0.00935662	-0.00306226	0.066334	-0.0029403	-0.00400476	0.0163622	-0.118844
W183	W183	0.0302671	-0.0135411	-0.000711918	0.0829197	-0.00366258	-0.0041464	0.00180577	-0.142685
W184	W184	0.0295493	-0.00846262	-0.00107654	0.0842155	-0.00935021	-0.00993027	-0.00474669	-0.130885
W185	W185	0.0307609	-0.0118115	-0.00183651	0.0796858	-0.00728526	-0.0281412	0.00973519	-0.0440816
W186	W186	0.0306551	-0.0195905	-0.00129075	0.0222731	-0.00189006	-0.00560706	-0.112246	0.140292
W187	W187	0.0308453	-0.0193995	-0.0014707	0.0159326	0.000693322	-0.00232445	-0.107321	0.133136
W188	W188	0.0306745	-0.0130785	0.00155071	0.0601463	-0.0031433	0.00221307	-0.015553	-0.0542842
W189	W189	0.0307204	-0.0146342	-0.000555497	0.0578864	0.00352928	0.00467493	0.0310107	-0.0625173
W190	W190	0.0321538	-0.0135896	0.00145408	0.0880114	-0.00178585	0.000208231	0.00691554	-0.0313402
W191	W191	0.00124892	0.0100332	0.0383405	0.0398946	0.123169	-0.00109693	-0.0149535	-0.0576466
W192	W192	0.00128144	0.00994527	0.0381968	0.0398148	0.122733	-0.00108288	-0.0147423	-0.0576552
W193	W193	-0.0659784	-0.0123571	-0.04244	0.00142968	-0.0335559	0.00145769	-0.00326583	-0.00509384
W194	W194	0.0301649	-0.0141388	-0.00531463	0.055075	-0.00778504	0.00516992	0.0130061	-0.0370359
W195	W195	0.0242765	-0.0144695	0.000151434	0.0457993	-0.00257254	-0.0140896	-0.0164915	0.0579899
W196	W196	-0.0102576	0.00521943	0.0207249	0.0303865	0.0999872	-0.00849949	-0.0129113	-0.0530741
W197	W197	0.0301301	-0.0127195	-0.00059063	0.0573339	0.000146958	-0.0108853	-0.0100605	-0.0558155
W198	W198	0.0310724	-0.0129488	0.000567669	-0.0275087	-0.00585811	0.048114	0.0448051	-0.0460755
W199	W199	0.0305359	-0.0150693	0.00214759	0.0260184	0.000117835	0.0109258	0.0257543	-0.0316441
W200	W200	0.0322833	-0.0177253	-0.00169131	0.0306053	-0.00453828	0.00677888	0.0349276	0.0244143
W201	W201	0.0322375	-0.0176933	-0.0016786	0.0314872	-0.00460262	0.00622907	0.0359026	0.0229805
W202	W202	0.0322733	-0.0177003	-0.00169019	0.0315406	-0.00459557	0.00620152	0.0359933	0.022952
W203	W203	0.0317617	-0.0144361	-0.000338851	0.00328422	-0.00189267	0.0259227	0.109926	0.0537415
W204	W204	0.0345724	-0.0206059	-0.00543095	-0.0665846	-0.000120934	0.055255	-0.0106433	-0.0521272
W205	W205	0.0345905	-0.0206001	-0.00541893	-0.0666353	-0.000140863	0.0553164	-0.0106388	-0.0521417
W206	W206	0.0305872	-0.0150676	0.00214733	0.025919	0.00012224	0.011041	0.0257659	-0.0316483
W207	W207	-0.0683943	-0.0123206	-0.062755	0.000954747	-0.0210638	0.00184979	0.00221034	-0.00317132
W208	W208	-0.0509652	-0.012225	-0.0533194	0.0200189	-0.0277742	-0.00596519	-0.0202064	0.00714824
W209	W209	-0.0670425	-0.0114233	-0.0365781	-0.000829611	0.00269511	0.00345813	0.00379126	0.00253971
W210	W210	0.033305	-0.0183548	-0.00291008	-0.0651258	0.00235025	0.0665002	-0.00468633	-0.0633868
W211	W211	0.0297515	-0.00765877	-0.000344286	0.077306	-0.00351873	-0.00545198	0.0075653	-0.141357
W212	W212	0.0296957	-0.0110984	-0.00410706	-0.0223071	0.00103301	0.0275455	0.0468271	0.0455207
W213	W213	0.0269272	-0.0112323	0.00620848	0.0834068	-0.00368275	-0.00162865	0.0542309	0.0211208
W214	W214	0.0140184	0.142737	-0.012522	-0.0121068	-0.0185962	-0.00735432	-0.0154076	0.00681458
W215	W215	0.0139275	0.142167	-0.0124877	-0.0120752	-0.0184121	-0.0074899	-0.0153422	0.00675711
W216	W216	0.0266846	-0.0187513	-0.00512773	0.106439	-0.0147112	-0.0333874	-0.0684254	0.0320468
W217	W217	0.0245704	-0.0122024	0.00930693	0.0607673	0.00024912	0.00813362	0.0524633	0.0445199
W218	W218	0.0244045	-0.0113986	0.00791326	0.0639808	-0.000780412	0.00887153	0.0523287	0.0424038
W219	W219	-0.0364029	0.0300851	0.0467698	0.00454025	0.271812	-0.013394	-0.0027906	0.00461566
W220	W220	-0.0366138	0.0298584	0.047476	0.00404364	0.266861	-0.0116449	-0.00204781	0.00223964
W221	W221	0.0304851	-0.0120427	1.89738e-05	0.0712483	0.00559144	0.00455159	0.0388115	0.00251129
W222	W222	0.0319043	-0.0163018	0.00318115	0.0797299	-0.00578892	-0.0202256	-0.0124904	-0.00452322
W223	W223	0.0312563	-0.0166654	-0.00184345	0.047184	-0.00203792	-0.002274	-0.00903306	-0.0114291
W224	W224	0.0302152	-0.0106945	0.000967811	0.055884	-0.00210267	0.00528337	0.0293453	-0.0601863
W225	W225	-0.0529272	-0.00448974	0.0956844	-0.00240291	-0.0500506	-0.00496605	-0.00450707	-0.000157583
W226	W226	-0.0641151	-0.00992222	-0.010421	-0.00425313	-0.0381974	0.000832396	0.00178255	-0.00117181
W227	W227	0.0325634	-0.0157355	-0.00053121	0.063282	-0.000843069	-0.0108931	-0.00704274	-0.0226362
W228	W228	0.0308302	-0.0133261	-0.00142284	0.0716351	-0.00741381	-0.00684227	-0.0105016	-0.0406881
W229	W229	0.0300039	-0.01621	0.000276335	0.0655159	-0.0048665	-0.00887549	-0.0176105	-0.0504363
W230	W230	0.0324953	-0.0156411	0.00194731	0.0861407	-0.00221311	-0.00739635	-0.0113078	-0.0642385
W231	W231	0.0320594	-0.0170892	-0.000483743	0.0572159	-0.00220481	0.00280349	-0.0467352	-0.0106649
W232	W232	-0.0529341	-0.0138248	-0.0583471	0.0113541	-0.011164	-0.000625973	-0.00383193	-0.011514
W233	W233	0.0321165	-0.0207884	-0.00460528	0.0213114	-0.00169107	-0.0130759	-0.108259	0.116523
W234	W234	0.0320242	-0.0207746	-0.00462238	0.0213419	-0.00178283	-0.0132252	-0.108074	0.116447
W235	W235	0.0331429	-0.0182972	-0.00662033	-0.0676128	0.00701447	0.0521786	-0.0228377	-0.0501625
W236	W236	0.0151888	-0.0117884	0.0195989	0.0766397	-0.0168445	-0.0221738	-0.0120064	0.0870237
W237	W237	0.0291891	-0.0141806	0.00111541	0.0702859	-0.00758658	-0.00112254	-0.00999449	-0.0245418
W238	W238	0.0296455	-0.0148557	0.00203881	0.0985945	-0.00349796	-0.0218382	-0.0244868	0.0138492
W239	W239	0.0308699	-0.0117619	-0.0020282	0.0353016	-0.00352487	0.00854324	0.0013275	-0.00536076
W240	W240	0.0225725	-0.017599	-0.00115243	-0.00880424	-0.00292984	0.0146684	-0.0192962	-0.000754534
W241	W241	0.0317911	-0.0130604	-0.00307175	0.061237	0.00230266	-0.00835823	-0.019386	-0.0379285
W242	W242	0.0328874	-0.0192012	-0.000609078	0.0708954	-0.00284921	-0.017646	-0.0133269	0.00214244
W243	W243	0.0145212	-0.0113896	0.0205194	0.0759249	-0.0158799	-0.0219991	-0.0119224	0.0876985
W244	W244	0.0147367	-0.0114203	0.0203507	0.0772825	-0.0162242	-0.0219814	-0.0119469	0.0871859
W245	W245	0.0220469	-0.00858751	0.01849	0.0713289	-0.00407576	0.0054127	0.0632861	-0.0138079
W246	W246	0.0304191	-0.0124338	-0.00106595	-0.0085506	-0.00443227	0.0265499	0.118706	0.0960274
